Track_ID,Image_File,X,Y,Vx,Vy,Speed
5,frame_3160.png,628.616475328617,432.8612337930375,82.14652825971439,50.77464074959312,96.57181912118202
5,frame_3165.png,636.8930742352048,437.9629845298647,49.65959343952727,30.610504420963025,58.33590833684633
5,frame_3170.png,643.1722571691844,446.75995620818,37.67509760387725,52.781830069891726,64.84855098603671
5,frame_3175.png,650.4972734814501,459.04674253890215,43.95009787359413,73.72071798433308,85.82747440781462
5,frame_3180.png,658.8656813566256,469.0090698079422,50.21044725105321,59.77396361424019,78.06417705521085
5,frame_3185.png,666.00580044747,474.6035980714207,42.8407145450667,33.56716958087122,54.425009842928425
5,frame_3190.png,673.8096049628666,480.3499334767141,46.822827092379384,34.47801243176036,58.14731703326886
5,frame_3195.png,680.1029734404094,487.0926960536626,37.760210865256795,40.456575461691045,55.340473639788804
5,frame_3200.png,687.8244574163188,489.43760636138677,46.32890385545602,14.069461846344893,48.41814834433306
5,frame_3205.png,697.1306257715698,495.5301511852391,55.83701013150653,36.555268943114015,66.73873978379693
5,frame_3210.png,706.4367941268208,501.6226960090914,55.83701013150585,36.555268943113674,66.73873978379618
5,frame_3215.png,715.742962482072,507.7152408329436,55.83701013150721,36.55526894311333,66.73873978379713
5,frame_3220.png,725.0491308373231,513.8077856567959,55.83701013150653,36.555268943113674,66.73873978379675
5,frame_3225.png,734.3552991925742,519.9003304806483,55.83701013150653,36.5552689431147,66.7387397837973
5,frame_3230.png,780.6606004175906,548.9135530519471,277.8318073500982,174.07933542779278,327.86297167933446
5,frame_3235.png,797.2427538114623,552.5862651690167,99.4929203632305,22.036272702417136,101.90406526247823
5,frame_3240.png,817.4158642268319,558.7025199010068,121.03866249221755,36.69752839194075,126.47950983452715
5,frame_3245.png,838.8998885947781,572.5586824071427,128.90414620767706,83.13697503681533,153.3885117204096
5,frame_3250.png,853.4068024869437,580.8524079733096,87.04148335299351,49.76235339700156,100.26221441748392
5,frame_3255.png,867.9137163791092,589.1461335394765,87.04148335299351,49.76235339700156,100.26221441748392
5,frame_3260.png,882.4206302712748,597.4398591056434,87.04148335299351,49.76235339700156,100.26221441748392
5,frame_3265.png,913.4111851774503,614.171483662171,185.94332943705285,100.3897473391653,211.31261943612787
5,frame_3270.png,929.1998239809321,623.1213182351963,94.73183282089099,53.699007438151966,108.89308311113217
5,frame_3275.png,944.988462784414,632.0711528082217,94.73183282089099,53.699007438151966,108.89308311113217
5,frame_3280.png,960.7771015878955,641.020987381247,94.73183282088894,53.699007438151966,108.8930831111304
5,frame_3285.png,984.1727409968439,676.7375722266717,140.37383645369073,214.29950907254806,256.18175881483563
5,frame_3290.png,1000.5719607798549,687.8358578709896,98.3953186980657,66.58971386590747,118.8100531707538
5,frame_3295.png,998.4886376177647,700.163423611009,-12.499938972541258,73.96539444011637,75.01418565177691
5,frame_3300.png,1012.3657344388704,714.1102154297171,83.26258092663443,83.68075091224864,118.04713234891456
5,frame_3305.png,1028.1431571662288,729.6122734016333,94.66453636415031,93.01234783149721,132.71273975834785
5,frame_3310.png,1045.1502738820532,734.9397700879322,102.04270029494637,31.964980117793402,106.93209358006217
5,frame_3315.png,1060.2423019051735,746.140252571725,90.55216813872175,67.20289490275695,112.76490694331429
5,frame_3325.png,1075.3343299282938,757.3407350555178,90.55216813872175,67.20289490275695,112.76490694331429
5,frame_3330.png,1061.3868517407793,792.1142446717151,-83.6848691250866,208.6410576971839,224.7982390444429
5,frame_3335.png,1057.6943313708143,806.9667386032958,-22.155122219789973,89.11496358948375,91.82769830573369
5,frame_3340.png,1049.5999806791297,816.0330673293181,-48.566104150108,54.397972356134005,72.92328756150437
5,frame_3345.png,1040.9009782259147,819.918222685801,-52.1940147192895,23.310932138897215,57.163053887119084
5,frame_3350.png,1035.6360254342937,826.9738451701164,-31.589716749725994,42.3337349058927,52.8209741997468
5,frame_3355.png,1033.721270148275,838.3790850824416,-11.488531716112902,68.43143947395129,69.38910771489421
5,frame_3360.png,1031.6725021579825,845.1818213488734,-12.29260794175434,40.81641759859076,42.62731701142158
5,frame_3365.png,1026.7090419692786,845.9096759335055,-29.780761132223688,4.367127507792247,30.099261391002287
5,frame_3395.png,1030.953845887096,856.1988222976429,25.468823506903846,61.73487818482454,66.78215446749934
5,frame_3400.png,1035.1986498049132,866.4879686617801,25.468823506903846,61.734878184823174,66.78215446749809
5,frame_3405.png,1039.4434537227305,876.7771150259174,25.468823506903846,61.734878184823856,66.78215446749871
5,frame_3410.png,1043.6882576405478,887.0662613900547,25.468823506903846,61.734878184823856,66.78215446749871
5,frame_3415.png,1047.9330615583651,897.355407754192,25.468823506903846,61.734878184823856,66.78215446749871
5,frame_3420.png,1052.1778654761824,907.6445541183293,25.468823506903846,61.734878184823856,66.78215446749871
5,frame_3425.png,1056.4226693939997,917.9337004824666,25.468823506903846,61.734878184823856,66.78215446749871
5,frame_3430.png,1060.667473311817,928.2228468466039,25.468823506903846,61.734878184823856,66.78215446749871
5,frame_3435.png,926.6663580104034,679.209693211586,-804.0066918084817,-1494.0789218101077,1696.6727984706044
5,frame_3440.png,916.9612889114732,659.5592988401704,-58.2304145935816,-117.90236622849352,131.49809559844664
5,frame_3445.png,909.603948370588,647.604683298176,-44.14404324531097,-71.72769325196623,84.22326598566482
5,frame_3450.png,899.0071635342782,641.3572924425166,-63.58070901785868,-37.484345133956595,73.80774139163988
5,frame_3455.png,882.7286442561319,628.2250067921354,-97.67111566887775,-78.79371390228698,125.49141877641972
5,frame_3460.png,867.782403054573,619.2418797817836,-89.67744720935343,-53.89876206211102,104.62849081304016
5,frame_3465.png,858.7301521729737,611.7927423862167,-54.31350528959592,-44.694824373401616,70.33906583550979
5,frame_3470.png,851.0672105925955,605.8834070007372,-45.977649482269044,-35.456012312876965,58.06094264688852
5,frame_3475.png,846.4793962133526,600.193837385091,-27.5268862754574,-34.13741769387707,43.85308147471733
5,frame_3480.png,839.776917924989,584.6067544638622,-40.21486973018182,-93.5224975273727,101.80222635666142
5,frame_3485.png,831.5811579402939,574.2701608541385,-49.17455990817052,-62.01956165834258,79.14899475328293
5,frame_3490.png,825.6092628481777,569.2067721478882,-35.831370552697535,-30.38033223750176,46.97714021250878
5,frame_3495.png,816.033473485551,565.4280112378644,-57.45473617575999,-22.672565460142323,61.76643047457593
